  Id   Target Id                          Frame 
* 1    Thread 0x7fdbfcddb700 (LWP 124796) 0x0000000000000000 in ?? ()
  21   Thread 0x7fdbfcdba700 (LWP 124797) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
  22   Thread 0x7fdbfccf4700 (LWP 124803) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
  23   Thread 0x7fdbfccb2700 (LWP 124805) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e40) at ../sysdeps/nptl/futex-internal.h:183
  24   Thread 0x7fdbfccd3700 (LWP 124804) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
  25   Thread 0x7fdbfcd36700 (LWP 124801) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e40) at ../sysdeps/nptl/futex-internal.h:183
  26   Thread 0x7fdbfcc0d700 (LWP 124810) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e40) at ../sysdeps/nptl/futex-internal.h:183
  27   Thread 0x7fdbfcbec700 (LWP 124811) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e40) at ../sysdeps/nptl/futex-internal.h:183
  28   Thread 0x7fdbfcc70700 (LWP 124807) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
  29   Thread 0x7fdbfcee3700 (LWP 124788) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e40) at ../sysdeps/nptl/futex-internal.h:183
  30   Thread 0x7fdbfce5f700 (LWP 124792) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
  31   Thread 0x7fdbfcb47700 (LWP 124816) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e40) at ../sysdeps/nptl/futex-internal.h:183
  32   Thread 0x7fdbfcb89700 (LWP 124814) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
  33   Thread 0x7fdbfcb05700 (LWP 124818) futex_abstimed_wait_cancelable (private=<optimized out>, abstime=0x7fdbfcb04da8, clockid=<optimized out>, expected=0, futex_word=0xefcadc) at ../sysdeps/nptl/futex-internal.h:320
  34   Thread 0x7fd9f4025700 (LWP 125105) 0x00007fdbfd15246e in epoll_wait (epfd=163, events=0x2a72aa0, maxevents=522, timeout=139158) at ../sysdeps/unix/sysv/linux/epoll_wait.c:30
  35   Thread 0x7fdbfcb68700 (LWP 124815) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e40) at ../sysdeps/nptl/futex-internal.h:183
  36   Thread 0x7fd5a5ffb700 (LWP 125109) 0x00007fdbfd15246e in epoll_wait (epfd=173, events=0x7fd5a5ffa370, maxevents=128, timeout=-1) at ../sysdeps/unix/sysv/linux/epoll_wait.c:30
  37   Thread 0x7fdbfcc4f700 (LWP 124808) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
  38   Thread 0x7fdbfcd15700 (LWP 124802) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
  39   Thread 0x7fdbfcd78700 (LWP 124799) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
  40   Thread 0x7fdbfcc2e700 (LWP 124809) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e40) at ../sysdeps/nptl/futex-internal.h:183
  41   Thread 0x7fd5a7fff700 (LWP 125108) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x7fdb700301e4) at ../sysdeps/nptl/futex-internal.h:183
  42   Thread 0x7fd9e83c8700 (LWP 125107) 0x00007fdbfd15246e in epoll_wait (epfd=167, events=0x7fdb8000e400, maxevents=257, timeout=-1) at ../sysdeps/unix/sysv/linux/epoll_wait.c:30
  43   Thread 0x7fdbfcd99700 (LWP 124798) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
  44   Thread 0x7fdbfcd57700 (LWP 124800) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
  45   Thread 0x7fdbfcbaa700 (LWP 124813) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
  46   Thread 0x7fdbfcc91700 (LWP 124806) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
  47   Thread 0x7fd57bffb700 (LWP 125119) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x7fdb7028a458) at ../sysdeps/nptl/futex-internal.h:183
  48   Thread 0x7fdbfcbcb700 (LWP 124812) futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e40) at ../sysdeps/nptl/futex-internal.h:183

Thread 48 (Thread 0x7fdbfcbcb700 (LWP 124812)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e40) at ../sysdeps/nptl/futex-internal.h:183
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x2a07de8, cond=0x2a07e18) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x2a07e18, mutex=0x2a07de8) at pthread_cond_wait.c:647
#3  0x0000000000aa6a41 in ?? ()
#4  0x0000000000aa68fe in ?? ()
#5  0x0000000000aa66e5 in ?? ()
#6  0x0000000000aa53d7 in ?? ()
#7  0x0000000000aa48cc in ?? ()
#8  0x0000000000aa49b4 in ?? ()
#9  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#10 0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 47 (Thread 0x7fd57bffb700 (LWP 125119)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x7fdb7028a458) at ../sysdeps/nptl/futex-internal.h:183
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x7fdb7028a408, cond=0x7fdb7028a430) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x7fdb7028a430, mutex=0x7fdb7028a408) at pthread_cond_wait.c:647
#3  0x00007fd9e82ddafe in RecvBuf::front(gu::datetime::Date const&) () from /usr/share/manticore/modules/libgalera_manticore.so
#4  0x00007fd9e82d816c in ?? () from /usr/share/manticore/modules/libgalera_manticore.so
#5  0x00007fd9e82cd691 in gcs_core_recv(gcs_core*, gcs_act_rcvd*, long long) () from /usr/share/manticore/modules/libgalera_manticore.so
#6  0x00007fd9e82c79e6 in ?? () from /usr/share/manticore/modules/libgalera_manticore.so
#7  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#8  0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 46 (Thread 0x7fdbfcc91700 (LWP 124806)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x2a07de8, cond=0x2a07e18) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x2a07e18, mutex=0x2a07de8) at pthread_cond_wait.c:647
#3  0x0000000000aa6a41 in ?? ()
#4  0x0000000000aa68fe in ?? ()
#5  0x0000000000aa66e5 in ?? ()
#6  0x0000000000aa53d7 in ?? ()
#7  0x0000000000aa48cc in ?? ()
#8  0x0000000000aa49b4 in ?? ()
#9  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#10 0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 45 (Thread 0x7fdbfcbaa700 (LWP 124813)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x2a07de8, cond=0x2a07e18) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x2a07e18, mutex=0x2a07de8) at pthread_cond_wait.c:647
#3  0x0000000000aa6a41 in ?? ()
#4  0x0000000000aa68fe in ?? ()
#5  0x0000000000aa66e5 in ?? ()
#6  0x0000000000aa53d7 in ?? ()
#7  0x0000000000aa48cc in ?? ()
#8  0x0000000000aa49b4 in ?? ()
#9  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#10 0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 44 (Thread 0x7fdbfcd57700 (LWP 124800)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x2a07de8, cond=0x2a07e18) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x2a07e18, mutex=0x2a07de8) at pthread_cond_wait.c:647
#3  0x0000000000aa6a41 in ?? ()
#4  0x0000000000aa68fe in ?? ()
#5  0x0000000000aa66e5 in ?? ()
#6  0x0000000000aa53d7 in ?? ()
#7  0x0000000000aa48cc in ?? ()
#8  0x0000000000aa49b4 in ?? ()
#9  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#10 0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 43 (Thread 0x7fdbfcd99700 (LWP 124798)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x2a07de8, cond=0x2a07e18) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x2a07e18, mutex=0x2a07de8) at pthread_cond_wait.c:647
#3  0x0000000000aa6a41 in ?? ()
#4  0x0000000000aa68fe in ?? ()
#5  0x0000000000aa66e5 in ?? ()
#6  0x0000000000aa53d7 in ?? ()
#7  0x0000000000aa48cc in ?? ()
#8  0x0000000000aa49b4 in ?? ()
#9  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#10 0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 42 (Thread 0x7fd9e83c8700 (LWP 125107)):
#0  0x00007fdbfd15246e in epoll_wait (epfd=167, events=0x7fdb8000e400, maxevents=257, timeout=-1) at ../sysdeps/unix/sysv/linux/epoll_wait.c:30
#1  0x000000000055adf3 in ?? ()
#2  0x000000000055aca8 in ?? ()
#3  0x0000000000aa53d7 in ?? ()
#4  0x0000000000aa48cc in ?? ()
#5  0x0000000000aa49b4 in ?? ()
#6  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#7  0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 41 (Thread 0x7fd5a7fff700 (LWP 125108)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x7fdb700301e4) at ../sysdeps/nptl/futex-internal.h:183
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x7fdb70030190, cond=0x7fdb700301b8) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x7fdb700301b8, mutex=0x7fdb70030190) at pthread_cond_wait.c:647
#3  0x00007fd9e82a18aa in galera::ServiceThd::thd_func(void*) () from /usr/share/manticore/modules/libgalera_manticore.so
#4  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#5  0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 40 (Thread 0x7fdbfcc2e700 (LWP 124809)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e40) at ../sysdeps/nptl/futex-internal.h:183
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x2a07de8, cond=0x2a07e18) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x2a07e18, mutex=0x2a07de8) at pthread_cond_wait.c:647
#3  0x0000000000aa6a41 in ?? ()
#4  0x0000000000aa68fe in ?? ()
#5  0x0000000000aa66e5 in ?? ()
#6  0x0000000000aa53d7 in ?? ()
#7  0x0000000000aa48cc in ?? ()
#8  0x0000000000aa49b4 in ?? ()
#9  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#10 0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 39 (Thread 0x7fdbfcd78700 (LWP 124799)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x2a07de8, cond=0x2a07e18) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x2a07e18, mutex=0x2a07de8) at pthread_cond_wait.c:647
#3  0x0000000000aa6a41 in ?? ()
#4  0x0000000000aa68fe in ?? ()
#5  0x0000000000aa66e5 in ?? ()
#6  0x0000000000aa53d7 in ?? ()
#7  0x0000000000aa48cc in ?? ()
#8  0x0000000000aa49b4 in ?? ()
#9  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#10 0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 38 (Thread 0x7fdbfcd15700 (LWP 124802)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x2a07de8, cond=0x2a07e18) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x2a07e18, mutex=0x2a07de8) at pthread_cond_wait.c:647
#3  0x0000000000aa6a41 in ?? ()
#4  0x0000000000aa68fe in ?? ()
#5  0x0000000000aa66e5 in ?? ()
#6  0x0000000000aa53d7 in ?? ()
#7  0x0000000000aa48cc in ?? ()
#8  0x0000000000aa49b4 in ?? ()
#9  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#10 0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 37 (Thread 0x7fdbfcc4f700 (LWP 124808)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x2a07de8, cond=0x2a07e18) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x2a07e18, mutex=0x2a07de8) at pthread_cond_wait.c:647
#3  0x0000000000aa6a41 in ?? ()
#4  0x0000000000aa68fe in ?? ()
#5  0x0000000000aa66e5 in ?? ()
#6  0x0000000000aa53d7 in ?? ()
#7  0x0000000000aa48cc in ?? ()
#8  0x0000000000aa49b4 in ?? ()
#9  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#10 0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 36 (Thread 0x7fd5a5ffb700 (LWP 125109)):
#0  0x00007fdbfd15246e in epoll_wait (epfd=173, events=0x7fd5a5ffa370, maxevents=128, timeout=-1) at ../sysdeps/unix/sysv/linux/epoll_wait.c:30
#1  0x00007fd9e82b9e48 in asio::detail::epoll_reactor::run(bool, asio::detail::op_queue<asio::detail::task_io_service_operation>&) () from /usr/share/manticore/modules/libgalera_manticore.so
#2  0x00007fd9e82b9abe in asio::detail::task_io_service::do_run_one(asio::detail::scoped_lock<asio::detail::posix_mutex>&, asio::detail::task_io_service_thread_info&, std::error_code const&) () from /usr/share/manticore/modules/libgalera_manticore.so
#3  0x00007fd9e82b97a2 in asio::detail::task_io_service::run(std::error_code&) () from /usr/share/manticore/modules/libgalera_manticore.so
#4  0x00007fd9e82b965d in asio::io_service::run() () from /usr/share/manticore/modules/libgalera_manticore.so
#5  0x00007fd9e8361584 in gcomm::AsioProtonet::event_loop(gu::datetime::Period const&) () from /usr/share/manticore/modules/libgalera_manticore.so
#6  0x00007fd9e82d715c in GCommConn::run() () from /usr/share/manticore/modules/libgalera_manticore.so
#7  0x00007fd9e82dd6c9 in GCommConn::run_fn(void*) () from /usr/share/manticore/modules/libgalera_manticore.so
#8  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#9  0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 35 (Thread 0x7fdbfcb68700 (LWP 124815)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e40) at ../sysdeps/nptl/futex-internal.h:183
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x2a07de8, cond=0x2a07e18) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x2a07e18, mutex=0x2a07de8) at pthread_cond_wait.c:647
#3  0x0000000000aa6a41 in ?? ()
#4  0x0000000000aa68fe in ?? ()
#5  0x0000000000aa66e5 in ?? ()
#6  0x0000000000aa53d7 in ?? ()
#7  0x0000000000aa48cc in ?? ()
#8  0x0000000000aa49b4 in ?? ()
#9  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#10 0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 34 (Thread 0x7fd9f4025700 (LWP 125105)):
#0  0x00007fdbfd15246e in epoll_wait (epfd=163, events=0x2a72aa0, maxevents=522, timeout=139158) at ../sysdeps/unix/sysv/linux/epoll_wait.c:30
#1  0x000000000055a0f4 in ?? ()
#2  0x00000000005a959f in ?? ()
#3  0x00000000005a8f5a in ?? ()
#4  0x000000000061ffd5 in ?? ()
#5  0x0000000000aa6af9 in ?? ()
#6  0x0000000000aa68fe in ?? ()
#7  0x0000000000aa66e5 in ?? ()
#8  0x0000000000aa53d7 in ?? ()
#9  0x0000000000aa48cc in ?? ()
#10 0x0000000000aa49b4 in ?? ()
#11 0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#12 0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 33 (Thread 0x7fdbfcb05700 (LWP 124818)):
#0  futex_abstimed_wait_cancelable (private=<optimized out>, abstime=0x7fdbfcb04da8, clockid=<optimized out>, expected=0, futex_word=0xefcadc) at ../sysdeps/nptl/futex-internal.h:320
#1  __pthread_cond_wait_common (abstime=0x7fdbfcb04da8, clockid=<optimized out>, mutex=0xefcae0, cond=0xefcab0) at pthread_cond_wait.c:520
#2  __pthread_cond_timedwait (cond=0xefcab0, mutex=0xefcae0, abstime=0x7fdbfcb04da8) at pthread_cond_wait.c:665
#3  0x00000000006e6dae in ?? ()
#4  0x0000000000aca5d0 in ?? ()
#5  0x0000000000aa48cc in ?? ()
#6  0x0000000000aa49b4 in ?? ()
#7  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#8  0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 32 (Thread 0x7fdbfcb89700 (LWP 124814)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x2a07de8, cond=0x2a07e18) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x2a07e18, mutex=0x2a07de8) at pthread_cond_wait.c:647
#3  0x0000000000aa6a41 in ?? ()
#4  0x0000000000aa68fe in ?? ()
#5  0x0000000000aa66e5 in ?? ()
#6  0x0000000000aa53d7 in ?? ()
#7  0x0000000000aa48cc in ?? ()
#8  0x0000000000aa49b4 in ?? ()
#9  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#10 0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 31 (Thread 0x7fdbfcb47700 (LWP 124816)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e40) at ../sysdeps/nptl/futex-internal.h:183
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x2a07de8, cond=0x2a07e18) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x2a07e18, mutex=0x2a07de8) at pthread_cond_wait.c:647
#3  0x0000000000aa6a41 in ?? ()
#4  0x0000000000aa68fe in ?? ()
#5  0x0000000000aa66e5 in ?? ()
#6  0x0000000000aa53d7 in ?? ()
#7  0x0000000000aa48cc in ?? ()
#8  0x0000000000aa49b4 in ?? ()
#9  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#10 0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 30 (Thread 0x7fdbfce5f700 (LWP 124792)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x2a07de8, cond=0x2a07e18) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x2a07e18, mutex=0x2a07de8) at pthread_cond_wait.c:647
#3  0x0000000000aa6a41 in ?? ()
#4  0x0000000000aa68fe in ?? ()
#5  0x0000000000aa66e5 in ?? ()
#6  0x0000000000aa53d7 in ?? ()
#7  0x0000000000aa48cc in ?? ()
#8  0x0000000000aa49b4 in ?? ()
#9  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#10 0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 29 (Thread 0x7fdbfcee3700 (LWP 124788)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e40) at ../sysdeps/nptl/futex-internal.h:183
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x2a07de8, cond=0x2a07e18) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x2a07e18, mutex=0x2a07de8) at pthread_cond_wait.c:647
#3  0x0000000000aa6a41 in ?? ()
#4  0x0000000000aa68fe in ?? ()
#5  0x0000000000aa66e5 in ?? ()
#6  0x0000000000aa53d7 in ?? ()
#7  0x0000000000aa48cc in ?? ()
#8  0x0000000000aa49b4 in ?? ()
#9  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#10 0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 28 (Thread 0x7fdbfcc70700 (LWP 124807)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e44) at ../sysdeps/nptl/futex-internal.h:183
#1  __pthread_cond_wait_common (abstime=0x0, clockid=0, mutex=0x2a07de8, cond=0x2a07e18) at pthread_cond_wait.c:508
#2  __pthread_cond_wait (cond=0x2a07e18, mutex=0x2a07de8) at pthread_cond_wait.c:647
#3  0x0000000000aa6a41 in ?? ()
#4  0x0000000000aa68fe in ?? ()
#5  0x0000000000aa66e5 in ?? ()
#6  0x0000000000aa53d7 in ?? ()
#7  0x0000000000aa48cc in ?? ()
#8  0x0000000000aa49b4 in ?? ()
#9  0x00007fdbfd22d609 in start_thread (arg=<optimized out>) at pthread_create.c:477
#10 0x00007fdbfd152133 in clone () at ../sysdeps/unix/sysv/linux/x86_64/clone.S:95

Thread 27 (Thread 0x7fdbfcbec700 (LWP 124811)):
#0  futex_wait_cancelable (private=<optimized out>, expected=0, futex_word=0x2a07e40) at ../sysdeps/nptl/futex-internal.h:183
